AmbientPressure,Fuel,BurnTime,ExhaustVelocity,Thrust,Isp
100000,RP-1,20,680,3240,69.317
100000,RP-1,40,680,1710,69.317
100000,RP-1,60,680,1200,69.317
100000,RP-1,80,680,945,69.317
100000,RP-1,100,680,792,69.317
100000,RP-1,120,680,690,69.317
100000,RP-1,140,680,617.143,69.317
100000,RP-1,160,680,562.5,69.317
100000,RP-1,180,680,520,69.317
100000,RP-1,200,680,486,69.317
100000,LH2,20,680,4320,69.317
100000,LH2,40,680,2280,69.317
100000,LH2,60,680,1600,69.317
100000,LH2,80,680,1260,69.317
100000,LH2,100,680,1056,69.317
100000,LH2,120,680,920,69.317
100000,LH2,140,680,822.857,69.317
100000,LH2,160,680,750,69.317
100000,LH2,180,680,693.333,69.317
100000,LH2,200,680,648,69.317
